City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Albany,US,42.6001,-73.9662,26.17,53,100,1.99,overcast clouds,2022-02-13 19:47:54
1,Nolinsk,RU,57.5596,49.9363,1.71,100,95,3.31,light snow,2022-02-13 19:52:57
2,Hobart,AU,-42.8794,147.3294,60.66,82,75,12.66,broken clouds,2022-02-13 19:45:43
3,Mahibadhoo,MV,3.7833,72.9667,81.48,78,100,12.06,overcast clouds,2022-02-13 19:52:57
4,Ushuaia,AR,-54.8,-68.3,40.66,81,100,26.46,moderate rain,2022-02-13 19:43:31
5,Te Anau,NZ,-45.4167,167.7167,47.35,88,34,1.59,scattered clouds,2022-02-13 19:52:58
6,Chulym,RU,55.0997,80.9572,22.03,95,100,12.8,light snow,2022-02-13 19:52:58
7,Bredasdorp,ZA,-34.5322,20.0403,69.12,73,92,14.97,overcast clouds,2022-02-13 19:48:32
8,Trairi,BR,-3.2778,-39.2689,81.79,74,14,10.63,few clouds,2022-02-13 19:48:21
9,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,5.75,clear sky,2022-02-13 19:48:20
10,Fortuna,US,40.5982,-124.1573,44.94,54,84,3.83,broken clouds,2022-02-13 19:48:17
11,Smirnykh,RU,49.75,142.8333,7.2,94,97,5.77,overcast clouds,2022-02-13 19:52:59
12,Punta Arenas,CL,-53.15,-70.9167,50.11,50,40,39.12,scattered clouds,2022-02-13 19:46:35
13,Vagur,FO,61.4732,-6.8119,36.21,73,100,33.49,overcast clouds,2022-02-13 19:53:00
14,Hilton Head Island,US,32.2163,-80.7526,66.31,58,100,5.01,overcast clouds,2022-02-13 19:53:00
15,Bluff,NZ,-46.6,168.3333,47.8,87,9,6.11,clear sky,2022-02-13 19:47:59
16,San Quintin,MX,30.4833,-115.95,76.03,20,9,7.52,clear sky,2022-02-13 19:49:23
17,Cherskiy,RU,68.75,161.3,-21.01,97,100,7.94,overcast clouds,2022-02-13 19:48:53
18,Luanda,AO,-8.8368,13.2343,78.8,73,0,6.91,clear sky,2022-02-13 19:52:16
19,Provideniya,RU,64.3833,-173.3,-14.48,95,19,3.15,few clouds,2022-02-13 19:47:49
20,Kodinsk,RU,58.6881,99.1844,-20.25,100,60,2.91,broken clouds,2022-02-13 19:50:50
21,Mouzouras,GR,35.5333,24.15,53.44,87,75,8.05,broken clouds,2022-02-13 19:53:02
22,Nouadhibou,MR,20.931,-17.0347,67.98,73,100,16.11,overcast clouds,2022-02-13 19:53:02
23,Brae,GB,60.3964,-1.353,40.91,88,100,11.25,overcast clouds,2022-02-13 19:50:36
24,Jamestown,US,42.097,-79.2353,22.64,38,100,5.75,overcast clouds,2022-02-13 19:47:51
25,Mataura,NZ,-46.1927,168.8643,47.48,97,27,2.95,scattered clouds,2022-02-13 19:48:20
26,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,66,20,10.36,few clouds,2022-02-13 19:47:23
27,Yellowknife,CA,62.456,-114.3525,-14.58,76,75,4.61,broken clouds,2022-02-13 19:48:17
28,Tarbes,FR,43.25,0.1667,61.27,36,75,16.11,broken clouds,2022-02-13 19:53:04
29,Saskylakh,RU,71.9167,114.0833,-16.6,86,26,3.22,scattered clouds,2022-02-13 19:48:40
30,Rikitea,PF,-23.1203,-134.9692,78.26,72,76,12.1,light rain,2022-02-13 19:48:01
31,Nome,US,64.5011,-165.4064,-12.84,70,0,0.0,clear sky,2022-02-13 19:51:13
32,Lebu,CL,-37.6167,-73.65,65.7,72,84,11.63,broken clouds,2022-02-13 19:49:04
33,Hilo,US,19.7297,-155.09,76.24,77,0,3.44,clear sky,2022-02-13 19:47:55
34,Port Alfred,ZA,-33.5906,26.891,72.9,84,96,10.2,overcast clouds,2022-02-13 19:48:06
35,Fairbanks,US,64.8378,-147.7164,13.82,84,100,0.0,light snow,2022-02-13 19:53:05
36,Ohara,JP,35.25,140.3833,37.94,96,100,30.0,overcast clouds,2022-02-13 19:53:06
37,Bethel,US,41.3712,-73.414,31.59,71,100,9.22,light snow,2022-02-13 19:48:14
38,Waipawa,NZ,-41.4122,175.5153,54.45,82,100,12.17,overcast clouds,2022-02-13 19:53:06
39,Hermanus,ZA,-34.4187,19.2345,73.9,83,26,16.22,scattered clouds,2022-02-13 19:48:44
40,Pisco,PE,-13.7,-76.2167,80.65,50,0,12.66,clear sky,2022-02-13 19:50:30
41,San Patricio,US,28.017,-97.5169,64.49,22,0,6.93,clear sky,2022-02-13 19:50:35
42,Saldanha,ZA,-33.0117,17.9442,69.85,90,0,20.18,clear sky,2022-02-13 19:49:28
43,Iqaluit,CA,63.7506,-68.5145,-16.31,75,100,3.44,overcast clouds,2022-02-13 19:47:53
44,Cabedelo,BR,-6.9811,-34.8339,86.67,71,10,11.39,clear sky,2022-02-13 19:53:08
45,Tasiilaq,GL,65.6145,-37.6368,17.76,71,100,9.89,overcast clouds,2022-02-13 19:47:02
46,Aklavik,CA,68.2191,-135.0107,-24.77,68,75,3.44,broken clouds,2022-02-13 19:49:38
47,Mar Del Plata,AR,-38.0023,-57.5575,69.82,60,0,9.22,clear sky,2022-02-13 19:48:07
48,Isangel,VU,-19.55,169.2667,78.91,94,40,4.61,scattered clouds,2022-02-13 19:49:38
49,Barrow,US,71.2906,-156.7887,-29.18,68,0,9.22,clear sky,2022-02-13 19:47:49
50,Khatanga,RU,71.9667,102.5,-24.38,93,83,2.77,broken clouds,2022-02-13 19:48:43
51,Chuy,UY,-33.6971,-53.4616,72.5,40,1,13.87,clear sky,2022-02-13 19:43:24
52,Luderitz,NA,-26.6481,15.1594,75.22,62,0,12.1,clear sky,2022-02-13 19:49:56
53,Dikson,RU,73.5069,80.5464,-4.09,87,100,25.34,overcast clouds,2022-02-13 19:44:42
54,Baykit,RU,61.67,96.37,-16.76,100,96,3.71,overcast clouds,2022-02-13 19:49:11
55,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,90.46,38,71,4.32,broken clouds,2022-02-13 19:53:10
56,Busselton,AU,-33.65,115.3333,63.05,75,0,11.5,clear sky,2022-02-13 19:44:20
57,Broome,US,42.2506,-75.833,24.22,60,100,11.5,overcast clouds,2022-02-13 19:49:55
58,Qaanaaq,GL,77.484,-69.3632,-7.82,89,100,2.95,overcast clouds,2022-02-13 19:48:29
59,Torbay,CA,47.6666,-52.7314,43.57,63,75,21.85,broken clouds,2022-02-13 19:45:49
60,Kodiak,US,57.79,-152.4072,34.61,78,10,3.85,clear sky,2022-02-13 19:47:58
61,Atuona,PF,-9.8,-139.0333,77.54,79,24,14.74,light rain,2022-02-13 19:48:11
62,College,US,64.8569,-147.8028,13.8,84,100,0.0,light snow,2022-02-13 19:51:25
63,Mount Isa,AU,-20.7333,139.5,73.17,88,33,0.0,scattered clouds,2022-02-13 19:50:43
64,Georgetown,MY,5.4112,100.3354,79.9,84,40,5.99,light rain,2022-02-13 19:48:09
65,Boende,CD,-0.2167,20.8667,81.64,60,95,5.23,overcast clouds,2022-02-13 19:50:07
66,Ous,RU,60.9058,61.5186,0.34,99,96,3.2,overcast clouds,2022-02-13 19:53:12
67,Belyy Yar,RU,53.6039,91.3903,-25.71,83,87,2.24,mist,2022-02-13 19:48:36
68,Vao,NC,-22.6667,167.4833,79.57,85,100,7.85,overcast clouds,2022-02-13 19:53:13
69,East London,ZA,-33.0153,27.9116,73.54,82,71,8.32,broken clouds,2022-02-13 19:48:23
70,Laguna,US,38.421,-121.4238,80.2,45,0,3.44,clear sky,2022-02-13 19:48:34
71,Vaini,TO,-21.2,-175.2,80.76,83,40,5.75,scattered clouds,2022-02-13 19:47:50
72,Mahebourg,MU,-20.4081,57.7,81.25,89,75,6.91,broken clouds,2022-02-13 19:51:06
73,Bayir,TR,37.2687,28.2167,43.32,90,17,3.44,few clouds,2022-02-13 19:53:14
74,Yongan,CN,39.6957,113.6871,2.01,94,87,2.75,overcast clouds,2022-02-13 19:53:14
75,Houma,US,29.5958,-90.7195,55.0,38,0,13.09,clear sky,2022-02-13 19:51:26
76,Vinh,VN,18.6667,105.6667,59.83,89,100,6.51,overcast clouds,2022-02-13 19:53:15
77,Arkadelphia,US,34.1209,-93.0538,57.58,31,0,11.21,clear sky,2022-02-13 19:53:15
78,Gap,FR,44.6667,6.0,25.43,74,71,5.46,broken clouds,2022-02-13 19:53:16
79,Henties Bay,NA,-22.116,14.2845,74.86,84,36,5.61,moderate rain,2022-02-13 19:53:16
80,Pudozh,RU,61.8099,36.5345,30.07,95,100,11.43,snow,2022-02-13 19:53:17
81,Westport,US,41.1415,-73.3579,32.45,78,100,12.66,light snow,2022-02-13 19:50:43
82,Vila Velha,BR,-20.3297,-40.2925,82.35,83,75,13.8,broken clouds,2022-02-13 19:49:26
83,Marsh Harbour,BS,26.5412,-77.0636,75.51,80,100,19.28,light rain,2022-02-13 19:53:18
84,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,74,20,9.22,few clouds,2022-02-13 19:47:54
85,Buala,SB,-8.145,159.5921,79.0,83,99,6.31,light rain,2022-02-13 19:53:19
86,Reyes,BO,-14.3167,-67.3833,76.96,83,100,1.72,overcast clouds,2022-02-13 19:53:19
87,Victoria Point,AU,-27.5833,153.3,71.19,87,67,3.0,light rain,2022-02-13 19:53:19
88,Puerto Ayora,EC,-0.7393,-90.3518,82.36,87,87,5.99,overcast clouds,2022-02-13 19:48:05
89,Sitka,US,57.0531,-135.33,37.29,81,100,8.05,overcast clouds,2022-02-13 19:48:10
90,Upernavik,GL,72.7868,-56.1549,-6.79,96,100,14.14,overcast clouds,2022-02-13 19:48:26
91,Faanui,PF,-16.4833,-151.75,80.82,74,100,15.28,light rain,2022-02-13 19:48:22
92,Vardo,NO,70.3705,31.1107,26.58,63,75,24.16,broken clouds,2022-02-13 19:44:09
93,Bendigo,AU,-36.7667,144.2833,70.57,53,1,6.78,clear sky,2022-02-13 19:50:55
94,Mount Gambier,AU,-37.8333,140.7667,60.71,94,100,9.22,overcast clouds,2022-02-13 19:46:42
95,Souillac,MU,-20.5167,57.5167,81.36,89,75,6.91,light rain,2022-02-13 19:48:05
96,Thompson,CA,55.7435,-97.8558,-7.44,71,100,8.05,overcast clouds,2022-02-13 19:45:22
97,Padang,ID,-0.9492,100.3543,76.5,84,100,4.0,overcast clouds,2022-02-13 19:44:38
98,Qaqortoq,GL,60.7167,-46.0333,25.43,88,100,8.23,overcast clouds,2022-02-13 19:50:38
99,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,18.41,scattered clouds,2022-02-13 19:44:41
100,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,34,7.47,scattered clouds,2022-02-13 19:47:13
101,Cape Town,ZA,-33.9258,18.4232,69.28,83,20,21.85,few clouds,2022-02-13 19:45:16
102,Tefe,BR,-3.3542,-64.7114,87.91,66,40,5.75,moderate rain,2022-02-13 19:53:22
103,Veliki Trnovac,RS,42.4767,21.7405,42.64,92,100,1.86,overcast clouds,2022-02-13 19:53:23
104,Klaksvik,FO,62.2266,-6.589,34.72,66,100,30.33,overcast clouds,2022-02-13 19:48:54
105,Hamilton,US,39.1834,-84.5333,30.78,55,20,6.91,few clouds,2022-02-13 19:44:31
106,Mandalgovi,MN,45.7625,106.2708,-6.11,80,77,7.78,broken clouds,2022-02-13 19:53:24
107,Wajima,JP,37.4,136.9,38.89,67,85,20.0,overcast clouds,2022-02-13 19:53:24
108,Sioux Lookout,CA,50.1001,-91.917,-3.62,54,75,4.61,broken clouds,2022-02-13 19:50:08
109,Buenaventura,CO,3.8801,-77.0312,78.08,92,96,5.88,overcast clouds,2022-02-13 19:53:25
110,Kapaa,US,22.0752,-159.319,76.12,75,40,14.97,scattered clouds,2022-02-13 19:48:22
